region,Siniestros,Fallecidos,Graves,Menos_Graves,Leves
Arica y Parinacota,959,33,96,61,501
Tarapaca,"1,370",24,85,59,526
Antofagasta,"2,235",56,194,122,"1,192"
Atacama,"1,174",29,98,83,599
Coquimbo,"2,725",70,278,187,"1,427"
Valparaiso,"7,225",121,713,359,"3,743"
Metropolitana,"19,047",378,"1,781",821,"6,936"
L.B.O Higgins,"4,681",119,459,258,"2,600"
Maule,"5,956",157,454,362,"3,682"
Ñuble,"1,979",67,255,119,"1,084"
Biobio,"6,355",151,771,376,"3,503"
Araucania,"4,551",118,528,235,"2,700"
Los Rios,"1,656",49,217,131,"1,126"
Los Lagos,"3,669",98,365,167,"1,947"
Aysen,460,7,60,19,312
Magallanes,665,8,76,19,417
