Edad,Fallecidos,Graves,Menos_Graves,Leves
0,3,8,14,61
1,10,31,21,207
2,13,62,45,283
3,9,89,62,331
4,14,101,54,343
5,11,98,70,394
6,15,84,72,362
7,10,109,72,419
8,11,115,76,442
9,15,102,63,409
10,6,86,92,407
11,6,96,73,379
12,9,96,83,371
13,4,82,82,337
14,10,99,74,384
15,6,112,65,380
16,10,117,86,435
17,10,111,109,491
18,18,162,157,764
19,24,151,129,736
20,29,180,196,787
21,30,163,156,729
22,29,175,166,824
23,44,174,172,751
24,35,210,212,863
25,49,189,159,831
26,25,192,163,789
27,31,176,166,828
28,28,195,192,834
29,24,157,147,763
30,45,172,171,807
31,31,153,132,637
32,33,161,148,706
33,38,126,132,659
34,26,142,124,675
35,55,145,151,658
36,30,135,138,583
37,20,136,138,597
38,31,169,167,623
39,28,127,131,564
40,45,170,164,644
41,13,109,109,449
42,28,125,109,579
43,33,105,85,449
44,26,96,83,400
45,43,123,114,440
46,25,100,82,356
47,22,76,66,334
48,23,83,83,373
49,23,79,83,304
50,43,118,106,372
51,18,68,65,258
52,21,103,92,309
53,19,67,64,279
54,15,94,58,259
55,29,68,62,239
56,26,78,56,215
57,15,59,44,183
58,28,66,48,183
59,17,61,47,188
60,34,94,57,239
61,15,45,33,109
62,14,60,36,167
63,11,57,32,135
64,13,52,32,126
65,29,71,35,150
66,14,41,34,106
67,8,46,27,104
68,12,44,30,115
69,11,36,14,94
70,24,73,36,113
71,13,26,20,83
72,11,53,22,88
73,7,29,27,69
74,7,36,13,67
75,12,29,22,60
76,8,30,16,41
77,6,23,16,33
78,4,16,13,49
79,3,14,10,31
80,6,23,17,40
81,3,10,7,18
82,2,16,8,25
83,3,11,7,14
84,4,14,5,27
85,4,11,2,11
86,1,8,5,15
87,5,4,1,11
88,2,7,5,5
89,3,4,1,4
90,0,5,3,4
